Comune;Frazione;Abitanti
Lecco;0;48131
Lecco;Centro;6572
Lecco;Santo Stefano;5215
Lecco;Castello;5208
Lecco;Germanedo;4070
Lecco;Acquate;3800
Lecco;San Giovanni;3601
Lecco;Maggianico;3230
Lecco;Belledo;2776
Lecco;Pescarenico;2865
Lecco;Olate;2478
Lecco;Rancio;2078
Lecco;Caleotto;1885
Lecco;Chiuso;1835
Lecco;Laorca;1469
Lecco;Bonacina;1127
Merate;0;14828
Calolziocorte;0;13904
Casatenovo;0;12973
Valmadrera;0;11612
Mandello del Lario;0;10356
Oggiono;0;9032
Missaglia;0;8664
Galbiate;0;8548
Colico;0;7776
Olginate;0;6991
Olgiate Molgora;0;6473
Robbiate;0;6335
Verderio;0;5668
Calco;0;5303
Barzanò;0;5122
Lomagna;0;4964
Costa Masnaga;0;4861
Osnago;0;4777
La Valletta Brianza;0;4686
Brivio;0;4620
Cassago Brianza;0;4379
Malgrate;0;4250
Monticello Brianza;0;4225
Ballabio;0;4055
Cernusco Lombardone;0;3891
Paderno d'Adda;0;3880
Civate;0;3853
Nibionno;0;3722
Molteno;0;3580
Valgreghentino;0;3466
Bosisio Parini;0;3429
Bellano;0;3217
Abbadia Lariana;0;3209
Rogeno;0;3149
Airuno;0;2868
Bulciago;0;2844
Vercurago;0;2829
Sirtori;0;2811
Garlate;0;2718
Dervio;0;2642
Montevecchia;0;2636
Castello di Brianza;0;2598
Dolzago;0;2499
Garbagnate Monastero;0;2441
Imbersago;0;2439
Barzago;0;2429
Cesana Brianza;0;2378
Sirone;0;2369
Annone di Brianza;0;2316
Primaluna;0;2270
Premana;0;2266
Pescate;0;2207
Santa Maria Hoè;0;2192
Lierna;0;2142
Viganò;0;2101
Torre de' Busi;0;2077
Pasturo;0;2008
Introbio;0;1993
Monte Marenzo;0;1923
Suello;0;1760
Cremella;0;1736
Colle Brianza;0;1731
Cremeno;0;1589
Carenno;0;1451
Barzio;0;1349
Oliveto Lario;0;1243
Ello;0;1224
Cortenova;0;1188
Perledo;0;926
Casargo;0;825
Varenna;0;770
Esino Lario;0;747
Erve;0;713
Taceno;0;536
Moggio;0;482
Cassina Valsassina;0;478
Margno;0;385
Pagnona;0;366
Dorio;0;330
Vestreno;0;310
Vendrogno;0;305
Crandola Valsassina;0;247
Sueglio;0;164
Tremenico;0;161
Parlasco;0;142
Introzzo;0;121
Morterone;0;34
